Brain	Muscle	Eye	Heart	Line Noise	Channel Noise	Other
0.004540893	0.004129421	0.9739858	0.002702784	0.0004838291	0.002063268	0.01209399
0.9949099	3.869231e-05	6.116356e-05	6.83803e-05	0.000164558	4.201886e-05	0.004715324
0.9016621	0.01675582	0.0001936592	0.05111268	0.002825871	0.001360273	0.02608952
0.003495334	0.00076434	0.9936831	0.0002037085	0.0003464682	0.0003698635	0.001137173
0.9706903	0.006991185	5.991731e-05	0.00541273	0.005335606	0.0005521665	0.01095806
0.532637	0.01453911	0.02674281	0.005352281	0.01949023	0.003127387	0.3981112
0.9843915	0.003926004	0.0001752713	0.002294734	0.00264341	0.0005902373	0.005978875
0.003642156	0.0003364016	0.0006589549	0.000783704	0.0008915807	0.001127123	0.9925601
0.9995888	1.776009e-07	9.027965e-07	2.68707e-06	5.873396e-05	1.704323e-06	0.0003470532
0.9815558	0.0002446364	2.041426e-05	0.00206409	0.001451383	4.552604e-05	0.01461819
0.9998479	9.2451e-08	1.759032e-06	8.598005e-07	9.208945e-06	4.521748e-07	0.0001397608
0.4942859	0.02336473	0.0008877144	0.006595938	0.01310162	0.244085	0.2176791
0.01222348	0.001246965	0.002639006	0.0003667526	0.01437974	0.0070556	0.9620885
0.9173243	0.005621943	6.100632e-05	0.0033712	0.00523418	0.002308573	0.06607883
0.01583979	0.1068501	0.6868382	0.001158851	0.007754944	0.01871883	0.1628393
0.1302658	0.2293756	0.01053472	0.001408968	0.06280372	0.008531637	0.5570796
0.202177	0.04434289	0.006788368	0.01216945	0.007974224	0.3921513	0.3343968
0.4300687	0.006867996	0.002542362	0.000958895	0.01554207	0.01635925	0.5276607
0.5211518	0.1111345	0.006763261	0.0135125	0.0303309	0.02957107	0.287536
0.4453696	0.153941	0.01058552	0.003619007	0.01725617	0.04542279	0.3238059
0.6085805	0.1634799	0.004728632	0.005470336	0.002571416	0.03806787	0.1771014
0.06334999	0.704668	0.01036678	0.003057895	0.005085596	0.02403088	0.1894409
0.07263117	0.198628	0.002825652	0.08861256	0.02091801	0.012635	0.6037496
0.1400164	0.0200315	0.0007570132	0.0009920235	0.005192945	0.003217014	0.8297931
0.06637014	0.1054123	0.008875759	0.004134854	0.006143836	0.04663425	0.7624288
0.4144579	0.01714674	0.00109636	0.04318667	0.02287812	0.04368212	0.457552
0.0256297	0.1880387	0.012773	0.003383657	0.01263784	0.05962943	0.6979077
0.9689059	3.815541e-05	7.958641e-05	0.0003086239	0.0006130324	0.0003108656	0.02974383
0.3677703	0.185642	0.004263881	0.007218134	0.003916633	0.01824424	0.4129448
0.2932669	0.009032166	0.006285758	0.02050817	0.0037129	0.3228257	0.3443685
0.6327998	0.009151435	0.002603968	0.0205075	0.01861937	0.09628028	0.2200377
