trial_type	duration	zero_time	number_averages
ntDontcount_lab	1	0.2	584
ntDontcount_oval	1	0.2	609
ntDontcount_campus	1	0.2	587
t_Dontcount_lab	1	0.2	166
t_Dontcount_oval	1	0.2	132
t_Dontcount_campus	1	0.2	148
ntcount_lab	1	0.2	598
ntcount_oval	1	0.2	577
ntcount_campus	1	0.2	611
t_count_lab	1	0.2	150
t_count_oval	1	0.2	161
t_count_campus	1	0.2	133
