Brain	Muscle	Eye	Heart	Line Noise	Channel Noise	Other
0.0815399	0.02003147	0.8338478	0.007848596	0.002465576	0.004126013	0.05014062
0.9817278	0.000215526	0.0004895591	0.001337988	0.000283394	6.986461e-05	0.01587589
0.7327757	0.08287024	0.002248503	0.1045214	0.003140406	0.008601599	0.06584208
0.001430556	0.0003481224	0.9963668	0.0001420175	6.141544e-05	0.0002106222	0.001440461
0.776674	0.1085911	0.003597162	0.003889963	0.009785485	0.008405446	0.08905688
0.9981019	0.0002329303	4.030954e-06	0.0002719227	7.353371e-05	2.303026e-05	0.001292608
0.5584844	0.158138	0.003276109	0.007803092	0.009804223	0.01509877	0.2473954
0.3641366	0.05658603	0.008739881	0.0007966732	0.09815051	0.03242125	0.439169
0.8522433	0.0008638659	0.001236212	0.001132111	0.003892198	0.0006991284	0.1399331
0.008284511	0.5681607	0.1512656	0.002920769	0.0008216572	0.04981569	0.2187312
0.677566	0.1355092	0.002689395	0.001450912	0.01292524	0.01130989	0.1585494
0.7019945	0.08385267	0.005978702	0.007576818	0.003964051	0.007513959	0.1891193
0.2364764	0.3328447	0.04790391	0.008757039	0.0160494	0.1047045	0.2532641
0.09321016	0.4293479	0.01170191	0.06334154	0.009853262	0.0008685662	0.3916767
0.2905338	0.222362	0.0057561	0.00479981	0.01004117	0.02733088	0.4391763
0.0103022	0.8655372	0.002179481	0.00172007	0.005050951	0.01070876	0.1045014
0.02514636	0.3755178	0.1168349	0.004423574	0.001619518	0.1210649	0.3553929
0.04228144	0.6729116	0.007209998	0.002263323	0.01711454	0.01927223	0.2389469
0.9108201	0.007930834	0.001629629	0.001915139	0.002639464	0.0116091	0.06345565
0.1164323	0.152476	0.2454081	0.003679409	0.002197842	0.05492735	0.424879
0.894175	0.003707184	0.0002135908	0.004542696	0.002412652	0.002718772	0.09223013
0.8942637	0.001967431	0.0001440266	0.00256006	0.002637636	0.01080013	0.08762701
0.7046536	0.02716155	0.009516565	0.005111102	0.009312104	0.0111452	0.2330999
0.3418141	0.06566719	0.02781888	0.003360455	0.01813672	0.01084784	0.5323548
0.6214095	0.04850572	0.01447689	0.003275447	0.009425073	0.004582743	0.2983246
0.5075818	0.004879446	0.002087769	0.009180763	0.009068995	0.1616739	0.3055273
0.9043562	0.0004187684	2.338147e-05	0.0006612712	0.001450985	0.0007196786	0.09236975
0.5085425	0.1423143	0.01656729	0.003696843	0.001798033	0.03689386	0.2901872
0.97917	0.0003468613	0.0004826231	0.007590811	0.00222794	0.0009797858	0.009202011
0.8741181	0.004999725	0.003152751	0.007387274	0.02542421	0.01203978	0.07287822
