Brain	Muscle	Eye	Heart	Line Noise	Channel Noise	Other
0.0204378	0.005235466	0.9503021	0.001560876	0.001171379	0.002159031	0.01913344
0.06272569	0.01870036	0.8413673	0.002458128	0.001928458	0.003458383	0.06936163
0.5419123	0.001034258	0.006566189	0.03463684	0.1220443	0.1476796	0.1461265
0.009009407	0.00155693	0.9840452	0.0004747502	0.0002378166	0.0005197605	0.004156125
0.001497679	0.9591731	0.00107534	0.0003334758	0.0006232199	0.00753038	0.0297668
0.002009311	0.9883525	0.0002421127	0.0001258539	0.001999472	0.0001788941	0.007091782
0.0003869135	0.9960196	0.000954357	0.0001142198	1.24938e-05	0.0008975205	0.001614912
0.0001082142	0.9993703	8.213831e-05	2.052982e-05	8.475682e-05	0.0001543758	0.0001796936
0.01299329	0.8685946	0.007214776	0.001130886	0.002752333	0.01007252	0.09724158
0.002856444	0.9910924	0.0006672527	0.0001744451	0.0002045842	0.001069034	0.00393581
0.8339329	0.009894857	0.01132156	0.01221565	0.06944421	0.007707979	0.05548286
0.3294158	0.3731112	0.03081533	0.01199514	0.005165629	0.01614779	0.2333491
0.005424151	0.8832431	0.005991242	0.004245491	0.008710679	0.0112036	0.08118173
0.9022397	0.0298909	0.001147975	0.01843148	0.009613077	0.005908796	0.03276809
0.02483922	0.6581175	0.04279147	0.0008565949	0.004748634	0.004139359	0.2645072
0.9919274	0.0002996178	0.0002061271	0.0002368361	0.002200109	0.0001729899	0.004956916
0.0004132463	0.9650387	0.01133166	0.000232978	0.0004440625	0.00368016	0.01885914
0.007303009	0.6697347	0.2186176	0.00075532	0.003155038	0.01439595	0.08603843
0.7171898	0.1024042	0.001880133	0.004121757	0.03096603	0.009500428	0.1339376
0.9769426	0.001115789	6.191673e-05	4.198718e-05	0.002689855	0.00171855	0.01742929
0.002807844	0.9871579	0.001127068	0.0001796462	0.00200987	0.001765321	0.004952393
0.1086004	0.3693361	0.006180858	0.004369747	0.007544114	0.009012149	0.4949566
0.8236088	0.001702123	0.01018346	0.001583338	0.006424586	0.005233321	0.1512644
0.04981786	0.1457256	0.4097735	0.006032429	0.03625189	0.02659489	0.3258038
0.2507042	0.002181593	0.0006754895	0.00144262	0.02214747	0.01120072	0.7116479
0.2320759	0.03894335	0.01366498	0.03469899	0.004817352	0.3708031	0.3049964
0.08827586	0.1411207	0.5962137	0.01546821	0.03600098	0.03907481	0.08384572
