name	type	units	sampling_reference	reference
Fp1	EEG	µV	250	common
Fz	EEG	µV	250	common
F3	EEG	µV	250	common
F7	EEG	µV	250	common
FT9	EEG	µV	250	common
FC5	EEG	µV	250	common
FC1	EEG	µV	250	common
T7	EEG	µV	250	common
CP5	EEG	µV	250	common
CP1	EEG	µV	250	common
Pz	EEG	µV	250	common
P3	EEG	µV	250	common
P7	EEG	µV	250	common
O1	EEG	µV	250	common
Oz	EEG	µV	250	common
O2	EEG	µV	250	common
P4	EEG	µV	250	common
P8	EEG	µV	250	common
CP6	EEG	µV	250	common
CP2	EEG	µV	250	common
Cz	EEG	µV	250	common
C4	EEG	µV	250	common
T8	EEG	µV	250	common
FT10	EEG	µV	250	common
FC6	EEG	µV	250	common
FC2	EEG	µV	250	common
F4	EEG	µV	250	common
F8	EEG	µV	250	common
Fp2	EEG	µV	250	common
FCz	EEG	µV	250	common
