Brain	Muscle	Eye	Heart	Line Noise	Channel Noise	Other
0.8701786	0.01520229	0.01061751	0.002306642	0.008978111	0.0009855183	0.09173121
0.875378	0.01116839	0.02744206	0.004449988	0.01358262	0.007157833	0.06082111
0.001931464	0.0002983591	0.9950415	0.0002608745	0.0001900637	0.0003407335	0.001936991
0.8349447	0.001662188	0.002643542	0.001606927	0.003528441	0.001007425	0.1546067
0.9945915	0.001128116	5.538678e-05	0.0003443555	0.001823256	9.678281e-05	0.001960534
0.9953811	2.816219e-05	6.256128e-05	0.000260548	0.001708006	3.386132e-05	0.002525812
0.9527406	0.006203969	0.001167434	0.001137152	0.001471375	0.0006587012	0.03662074
0.0009973453	0.8555743	0.08684378	0.001319186	0.0009359467	0.005477338	0.04885215
0.9340222	0.01346586	0.0006936847	0.00132906	0.00805471	0.001325535	0.041109
0.08532132	0.7995188	0.008233008	0.003355165	0.009165088	0.02163801	0.07276867
0.9763165	0.001531816	0.0001335543	0.0007589135	0.002317795	0.0005077855	0.01843357
0.9878811	0.000162258	0.0001127624	0.0002003465	0.001865834	0.0009467528	0.008831021
0.3390955	0.06179469	0.009500968	0.01434764	0.04520731	0.0752947	0.4547592
0.02749758	0.001303817	0.002704967	0.00226976	0.01564489	0.002757529	0.9478214
0.6150727	0.0008354675	0.0006835309	0.0002663707	0.05147526	0.006916428	0.3247502
0.3532074	0.03133548	0.005758404	0.001247262	0.1366395	0.03394801	0.4378639
0.5212469	0.006595291	0.01714915	0.02027412	0.01660797	0.09030532	0.3278213
0.4498657	0.1117955	0.003809292	0.00412091	0.01744447	0.02225144	0.3907126
0.4795232	0.01093053	0.008737346	0.002110808	0.1288103	0.07436839	0.2955194
0.60195	0.001904538	0.001406431	0.002311814	0.08519271	0.008193319	0.2990412
0.6295147	0.02114951	0.004803426	0.001589641	0.04080527	0.003240246	0.2988971
0.02617591	0.5859218	0.00396093	0.0150549	0.001643433	0.04654064	0.3207024
0.004353156	0.6332765	0.05522113	0.004877741	0.004923487	0.01498403	0.2823639
0.4987993	0.0135192	0.0008169025	0.005066762	0.03945586	0.1276354	0.3147066
0.4464452	0.002166291	0.001584491	0.002434293	0.007036593	0.001459037	0.5388741
0.1124097	0.3284861	0.009202162	0.006842029	0.004324466	0.1101247	0.4286109
0.5485322	0.01285427	0.0199955	0.003762761	0.02786173	0.0815333	0.3054602
