Brain	Muscle	Eye	Heart	Line Noise	Channel Noise	Other
0.003034868	0.005996621	0.9763874	0.001552436	0.0005927038	0.001693846	0.01074205
0.3922763	0.06572536	0.0233641	0.05920821	0.03309013	0.004321464	0.4220144
0.0007544049	0.0002424103	0.9982961	9.516042e-05	0.0001773655	9.743447e-05	0.0003370789
0.9931394	0.0002315156	0.0002451	0.0002501609	0.001445504	0.0003179366	0.004370285
0.2393847	0.408069	0.006398963	0.003364327	0.008707193	0.009811057	0.3242648
0.005417434	0.9621838	0.0009206225	0.0003530097	0.001586398	0.003025053	0.02651363
0.002778248	0.8575641	0.08752814	0.001398089	0.0008191098	0.008591413	0.04132092
0.9912573	2.117589e-05	7.651458e-05	0.0003914044	0.003259024	3.772432e-05	0.004956954
0.9653873	0.003557831	0.0003872215	0.003738441	0.009541811	0.0008741519	0.01651321
0.003328021	0.9638825	0.001749362	0.0004765782	0.0004743143	0.004526696	0.02556245
0.00173505	0.9187826	0.02772833	0.000988845	0.0006603964	0.008680526	0.04142421
0.1168644	0.3702634	0.006619815	0.004935705	0.01080213	0.02579057	0.464724
0.001050415	0.769792	0.002982571	0.003629021	0.002655833	0.02687445	0.1930156
0.2450905	0.008997444	0.01284273	0.02616897	0.01454744	0.009149905	0.683203
0.4782846	0.1147552	0.00818778	0.001755403	0.03631201	0.01260007	0.348105
0.8548555	0.02685962	0.0005311618	0.006021202	0.01741532	0.002088578	0.09222857
0.0001763477	8.033412e-06	0.0007786017	0.000142577	0.9248084	0.07401867	6.735748e-05
0.968245	0.0009251513	0.001885115	0.0008352754	0.006003051	0.002474141	0.01963236
0.0005933759	0.8901305	0.00410437	0.0007759946	0.001564734	0.02010581	0.08272523
0.9396136	0.009608289	0.003077765	0.001340894	0.02425573	0.001917228	0.02018653
0.002384462	0.9710218	0.001222265	0.001768704	5.207654e-05	0.00588946	0.01766128
0.1262138	0.05194999	0.007509555	0.05706783	0.003463201	0.5232203	0.2305754
0.02174583	0.4305433	0.02728337	0.0004142062	0.01848686	0.005771577	0.4957549
0.7051215	0.02435968	0.003212055	0.001247623	0.06017111	0.002725675	0.2031624
0.6722192	0.003665715	0.09340916	0.0157765	0.01621713	0.01526678	0.1834455
0.01569591	0.8586386	0.009588473	0.002027844	0.009972353	0.005890729	0.09818609
0.07140961	0.0003514311	0.00199352	0.005742155	0.06080667	0.008046281	0.8516503
0.1329089	0.005374771	0.0003662313	0.000743961	0.02160384	0.009340681	0.8296616
0.007933996	0.7523589	0.00528258	0.004736063	0.0004373313	0.0303081	0.198943
0.8095562	0.003602091	9.144463e-05	0.003426708	0.02307459	0.003092155	0.1571568
0.3416564	0.01435495	0.002297664	0.00947132	0.1015005	0.0433577	0.4873615
