Brain	Muscle	Eye	Heart	Line Noise	Channel Noise	Other
0.02059593	0.02114523	0.9176572	0.004812196	0.004835189	0.003789869	0.02716441
0.8848553	0.0242951	0.002319411	0.01228257	0.04900481	0.003394773	0.02384807
0.009795196	0.001544415	0.9830813	0.0006499569	0.0006845482	0.0003390072	0.003905566
0.9969202	2.133504e-05	7.37209e-05	0.0004210179	0.0004844078	5.836767e-05	0.002020971
0.9994434	2.452378e-05	6.87793e-06	0.0001696236	0.0001861331	3.940176e-06	0.0001655255
0.9394305	0.01935179	0.0002988598	0.005181023	0.006528047	0.0008186739	0.02839111
0.9280279	0.02954777	0.0002806863	0.00211239	0.007173743	0.005402236	0.02745533
0.9352893	0.0251597	0.0001918321	0.001084379	0.01113038	0.001703223	0.02544118
0.9563845	0.001621304	8.419498e-05	0.002182328	0.006767533	0.0002652869	0.03269484
0.16407	0.5028819	0.02632093	0.001110594	0.05573093	0.0481777	0.2017079
0.09516291	0.0457885	0.1624402	0.00982451	0.04226664	0.02747687	0.6170405
0.02173756	0.6713248	0.1068228	0.001006169	0.03074379	0.02898677	0.1393781
0.9925913	7.951896e-05	0.0001946874	0.0005840729	0.002138767	0.0001398963	0.004271842
0.004499828	0.9865299	0.0005118934	0.0001824755	0.001363784	0.001578106	0.005333935
0.1854114	0.2402005	0.01413523	0.007167095	0.03428416	0.07990459	0.438897
0.2108756	0.002279206	0.001686845	0.02488132	0.5588954	0.0009398265	0.2004418
0.02927236	0.8151698	0.007110986	0.004011979	0.008088829	0.009754943	0.126591
0.08577808	0.007723317	0.001027335	0.001512049	0.08298572	0.003790029	0.8171834
0.9581883	0.002621453	0.0004311615	0.0002800523	0.004877887	0.0006777863	0.03292334
0.8508305	0.002064866	0.0008900512	0.000204803	0.01677854	0.005808922	0.1234223
0.1055307	0.07797685	0.007623844	0.001636375	0.00138275	0.03944199	0.7664075
0.9165285	0.00210384	0.0002580838	0.0007335502	0.008036097	0.005998936	0.06634091
0.9622584	0.0004636002	0.0001376551	0.0002757613	0.004831099	0.0001393368	0.03189415
0.01250229	0.1348659	0.01996438	0.002050788	0.02856692	0.132584	0.6694658
0.2171055	0.01507691	0.00902418	0.02196453	0.004057485	0.5228031	0.2099683
0.7298546	0.008890106	0.0009774347	0.004184034	0.0253481	0.008306416	0.2224393
0.3499596	0.08743834	0.05324488	0.005538234	0.007962164	0.07381345	0.4220434
0.6472527	0.005323233	0.008710207	0.002414112	0.02159567	0.005545409	0.3091587
0.5269676	0.0142596	0.02140524	0.10106	0.04417088	0.08110617	0.2110305
