Brain	Muscle	Eye	Heart	Line Noise	Channel Noise	Other
0.003345306	0.004463066	0.9751529	0.002095761	0.0004640183	0.002453071	0.01202598
0.7074482	0.02423862	0.01666189	0.01641452	0.02711739	0.03810893	0.1700105
0.9848138	0.0001516298	0.0005185525	0.0007123883	0.003669448	0.0002055877	0.009928489
0.9994179	4.05063e-05	2.025691e-06	2.001585e-05	0.0001031803	1.341675e-05	0.0004028992
0.0002744463	0.000117223	0.9988149	9.437774e-05	1.561954e-05	8.35374e-05	0.0005998415
0.8755966	0.08932351	0.0007567314	0.004611888	0.002932537	0.002781419	0.02399725
0.9036682	0.06292728	0.0006267438	0.004565666	0.003221024	0.003200467	0.02179056
0.7917038	0.07192182	0.002601573	0.007138239	0.006440694	0.004621609	0.1155723
0.3632598	0.1369663	0.005447128	0.02762632	0.02751438	0.03144398	0.4077421
0.9983572	7.198457e-05	1.524147e-05	3.696152e-05	0.0002107068	2.396929e-05	0.00128393
0.9982734	4.181855e-05	1.954678e-05	0.0002035599	0.00100944	3.076289e-06	0.000449273
0.05003978	0.01086552	0.00134101	0.004145258	0.01289824	0.03582628	0.8848839
0.009655196	0.583415	0.05265247	0.001977448	0.006068748	0.06106028	0.2851708
0.03607855	0.2515988	0.3456733	0.0006524486	0.006162984	0.02842286	0.3314111
0.914905	0.0006878585	0.001452899	0.005837395	0.003026249	0.001682175	0.07240847
0.0862882	0.08356709	0.003024821	0.01107992	0.001044666	0.03714042	0.7778548
0.6085204	0.02921143	0.002797079	0.005303775	0.02852291	0.005732727	0.3199117
0.01530201	0.914813	0.0158223	0.0008733884	0.002946309	0.009626599	0.04061636
0.4829847	0.1012458	0.08251231	0.009167076	0.01936603	0.1199211	0.1848029
0.4912625	0.04496045	0.005933033	0.02439069	0.0118434	0.01175357	0.4098564
0.02639588	0.2719637	0.1590579	0.003090286	0.01592904	0.04077773	0.4827854
0.2998171	0.04267263	0.008452431	0.004737011	0.01426151	0.04861376	0.5814456
0.9869485	0.0005190169	0.0007890263	0.00109225	0.004228477	0.0001154305	0.006307317
0.111205	0.0005491048	0.009906417	0.01636774	0.02005642	0.02039945	0.8215159
0.01825254	0.003328737	0.0008769776	0.001108914	0.004122273	0.003244306	0.9690663
0.03493746	0.8053321	0.004719064	0.004052645	0.000596697	0.04575219	0.1046098
0.2196706	0.2609425	0.004021429	0.007497739	0.04099633	0.03046522	0.4364061
0.005936658	0.9145073	0.007186915	0.002045384	0.0008296468	0.03385293	0.0356412
0.8450096	0.001679088	0.0001656714	0.0007788461	0.01473985	0.001694758	0.1359322
0.8850788	0.002053421	0.01052384	0.001718577	0.005463398	0.002076774	0.09308515
