Brain	Muscle	Eye	Heart	Line Noise	Channel Noise	Other
0.003158934	0.00449647	0.9765943	0.001757292	0.0007095969	0.001772837	0.01151063
0.9987404	3.172916e-05	1.484038e-05	1.554165e-05	0.0001394597	9.488667e-06	0.001048616
0.9917646	4.866428e-05	0.0001657194	0.0003506759	0.002613254	8.493885e-05	0.004972113
0.7505759	0.1699605	0.0004761079	0.001297315	0.007415656	0.004519434	0.06575512
0.0008692208	0.0002175826	0.9969565	0.0001474007	4.024304e-05	9.124111e-05	0.001677712
0.8190556	0.120473	0.0004054721	0.001914973	0.007246763	0.003551963	0.04735224
0.9049968	0.007791937	0.003543407	0.002265492	0.001870915	0.006667408	0.07286407
0.0164681	0.714651	0.02036895	0.006841256	0.005639127	0.01959168	0.2164399
0.005983759	0.6606697	0.01481566	0.0008786953	0.00962432	0.03717247	0.2708554
0.1171995	0.3697802	0.1403983	0.002415307	0.006756665	0.03218496	0.3312651
0.004478072	0.2575181	0.6469512	0.0006789323	0.001742361	0.003719175	0.08491218
0.01515418	0.9309129	0.005905647	0.0002643396	0.005319844	0.01176902	0.03067421
0.05635149	0.6385517	0.004374163	0.000962569	0.007021628	0.0115671	0.2811713
0.3036823	0.06570296	0.002634699	0.002029055	0.08496808	0.004165208	0.5368176
0.9921489	0.0002628478	3.432496e-05	0.0001376387	0.003045657	7.562642e-05	0.004294934
0.8633565	0.00219749	0.001008578	0.006898961	0.007756047	0.003622356	0.11516
0.05500659	0.01586182	0.001367689	0.003204878	0.02545743	0.0396806	0.859421
0.6716064	0.04229729	0.003848214	0.009208344	0.02318037	0.009432201	0.2404272
0.09440321	0.6471061	0.002852971	0.002785731	0.03332424	0.008758673	0.2107691
0.08503251	0.1061527	0.002602858	0.007653357	0.002247538	0.03927373	0.7570373
0.9920165	5.92459e-05	9.878207e-06	0.000108911	0.007428249	2.136347e-06	0.0003750995
0.005945071	0.9475501	0.001130942	0.0008279727	0.0004527189	0.009271788	0.03482151
0.2529156	0.2232602	0.003391733	0.0051632	0.0201305	0.02457252	0.4705663
0.6626529	0.02168114	0.004751794	0.005047045	0.04432052	0.03534612	0.2262005
0.0009107369	0.9632888	0.002435946	0.0003606663	0.0007484383	0.0145219	0.01773349
0.9382328	0.0005519391	3.356112e-05	0.0001781392	0.01312535	0.000577946	0.04730044
0.9840418	0.001154226	0.000593816	0.0004739936	0.0079979	0.0006797468	0.005058596
0.3343495	0.0003444646	0.006476509	0.01720359	0.08406089	0.03107517	0.5264899
0.8990723	0.005683707	0.005513583	0.0008411361	0.01513869	0.001315414	0.0724352
0.008025203	0.004108505	0.0007117242	0.002282546	0.006584811	0.01414387	0.9641433
