name	type	units	sampling_reference	reference
Fp1	EEG	µV	500	common
Fz	EEG	µV	500	common
F3	EEG	µV	500	common
F7	EEG	µV	500	common
FT9	EEG	µV	500	common
FC5	EEG	µV	500	common
FC1	EEG	µV	500	common
C3	EEG	µV	500	common
T7	EEG	µV	500	common
TP9	EEG	µV	500	common
CP5	EEG	µV	500	common
CP1	EEG	µV	500	common
Pz	EEG	µV	500	common
P3	EEG	µV	500	common
P7	EEG	µV	500	common
O1	EEG	µV	500	common
Oz	EEG	µV	500	common
O2	EEG	µV	500	common
P4	EEG	µV	500	common
P8	EEG	µV	500	common
TP10	EEG	µV	500	common
CP6	EEG	µV	500	common
CP2	EEG	µV	500	common
Cz	EEG	µV	500	common
C4	EEG	µV	500	common
T8	EEG	µV	500	common
FT10	EEG	µV	500	common
FC6	EEG	µV	500	common
FC2	EEG	µV	500	common
F4	EEG	µV	500	common
F8	EEG	µV	500	common
Fp2	EEG	µV	500	common
x_dir	EEG	µV	500	common
y_dir	EEG	µV	500	common
z_dir	EEG	µV	500	common
